epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.28232,1.56288,4.11969,1.43652,0.00083,0.25,0.00053,0.00032,1.66887,4.3083,1.57233,0,0,0
2,10.9225,1.51811,4.21978,1.29836,0.00167,0.5,0.00133,0.0009,1.63361,4.3852,1.56556,1.9802e-05,1.9802e-05,1.9802e-05
3,16.3225,1.30081,4.05973,1.34081,0.00083,0.25,0.0006,0.00036,1.59043,4.36158,1.51514,3.9208e-05,3.9208e-05,3.9208e-05
4,21.223,1.23242,4.35689,1.23435,0.0025,0.75,0.00293,0.00163,1.55619,4.39949,1.52507,5.8218e-05,5.8218e-05,5.8218e-05
5,26.7398,1.17215,3.80877,1.1503,0.0025,0.75,0.00363,0.00238,1.45929,4.4117,1.41702,7.6832e-05,7.6832e-05,7.6832e-05
6,31.7833,1.09222,3.7732,1.17188,0.0025,0.75,0.00394,0.00264,1.59275,4.39713,1.4627,9.505e-05,9.505e-05,9.505e-05
7,36.8955,1.21401,3.9129,1.20111,0.0025,0.75,0.00392,0.00242,1.59726,4.34365,1.45862,0.000112872,0.000112872,0.000112872
8,42.0167,1.28814,3.55424,1.23001,0.00333,1,0.00573,0.00315,1.60376,4.36422,1.48616,0.000130298,0.000130298,0.000130298
9,46.6365,0.99934,3.5705,1.07824,0.00333,1,0.00588,0.00257,1.65233,4.36608,1.4695,0.000147328,0.000147328,0.000147328
10,51.8376,0.96505,3.01635,1.0515,0.00333,1,0.12709,0.08772,1.58912,4.57821,1.35813,0.000163962,0.000163962,0.000163962
11,56.2516,1.2802,3.27693,1.21845,0.00333,1,0.24969,0.14914,1.72907,4.41131,1.45102,0.0001802,0.0001802,0.0001802
12,61.1227,1.10679,2.51159,1.06934,0.00333,1,0.24989,0.14943,1.62552,4.42576,1.39846,0.000196042,0.000196042,0.000196042
13,66.1483,1.13831,2.60822,1.07738,0.00333,1,0.24993,0.14973,1.52222,4.39858,1.37324,0.000211488,0.000211488,0.000211488
14,71.3304,0.80791,2.31681,0.94565,0.00333,1,0.24996,0.14975,1.4849,4.25199,1.39311,0.000226538,0.000226538,0.000226538
15,76.2136,0.98186,1.94029,1.00234,0.00333,1,0.25007,0.14995,1.3915,4.17043,1.32602,0.000241192,0.000241192,0.000241192
16,82.2266,0.95594,2.3834,0.97687,0.00333,1,0.24992,0.14986,1.32136,4.10597,1.29477,0.00025545,0.00025545,0.00025545
17,87.1755,1.10852,1.86925,1.01774,0.00333,1,0.24986,0.14963,1.37109,4.06626,1.3466,0.000269312,0.000269312,0.000269312
18,92.343,0.85468,1.8158,0.9504,0.00333,1,0.24986,0.14963,1.37109,4.06626,1.3466,0.000282778,0.000282778,0.000282778
19,97.3352,0.98818,2.47257,1.05336,0.00333,1,0.05398,0.02193,1.41513,4.1181,1.38297,0.000295848,0.000295848,0.000295848
20,102.034,1.05354,1.76604,1.10039,0.00333,1,0.05398,0.02193,1.41513,4.1181,1.38297,0.000308522,0.000308522,0.000308522
21,107.067,0.92989,1.94783,0.96702,0.00333,1,0.00641,0.0034,1.50923,4.05686,1.44069,0.0003208,0.0003208,0.0003208
22,112.351,0.83333,1.91587,0.96912,0.00333,1,0.00641,0.0034,1.50923,4.05686,1.44069,0.000332682,0.000332682,0.000332682
23,117.503,0.7687,1.95685,0.91467,0.00333,1,0.00657,0.0035,1.48049,3.98539,1.47715,0.000344168,0.000344168,0.000344168
24,122.503,0.92511,2.04688,0.98346,0.00333,1,0.00657,0.0035,1.48049,3.98539,1.47715,0.000355258,0.000355258,0.000355258
25,127.452,0.92002,2.2962,1.09923,0.00333,1,0.00646,0.00329,1.46081,3.89946,1.54258,0.000365952,0.000365952,0.000365952
26,131.728,1.19646,2.25908,1.07101,0.00333,1,0.00646,0.00329,1.46081,3.89946,1.54258,0.00037625,0.00037625,0.00037625
27,136.881,0.90787,1.90358,1.03057,0.00333,1,0.0065,0.00365,1.50844,3.85084,1.5734,0.000386152,0.000386152,0.000386152
28,141.958,1.08345,1.98179,1.02104,0.00333,1,0.0065,0.00365,1.50844,3.85084,1.5734,0.000395658,0.000395658,0.000395658
29,146.563,0.84703,1.68573,0.96169,0.00333,1,0.00634,0.00309,1.46582,3.77003,1.50002,0.000404768,0.000404768,0.000404768
30,151.09,0.90941,1.62382,0.94938,0.00333,1,0.00634,0.00309,1.46582,3.77003,1.50002,0.000413482,0.000413482,0.000413482
31,155.499,0.94866,1.6718,0.92138,0.00333,1,0.00634,0.00343,1.36012,3.66524,1.34178,0.0004218,0.0004218,0.0004218
32,159.966,0.84281,1.48171,0.936,0.00333,1,0.00634,0.00343,1.36012,3.66524,1.34178,0.000429722,0.000429722,0.000429722
33,164.615,0.8106,1.84965,0.90728,0.00333,1,0.03519,0.03342,1.30638,3.60456,1.27415,0.000437248,0.000437248,0.000437248
34,169.497,0.75706,1.75369,0.92731,0.00333,1,0.03519,0.03342,1.30638,3.60456,1.27415,0.000444378,0.000444378,0.000444378
35,174.571,0.84389,1.7529,0.92356,0.00333,1,0.12694,0.12519,1.22398,3.58481,1.24229,0.000451112,0.000451112,0.000451112
